"block_size","milliseconds_elapsed","total_size"
"128","321","52428800"
"128","311","52428800"
"128","314","52428800"
"128","311","52428800"
"128","312","52428800"
"128","308","52428800"
"128","317","52428800"
"128","316","52428800"
"128","321","52428800"
"128","320","52428800"
"128","314","52428800"
"128","318","52428800"
"128","314","52428800"
"128","323","52428800"
"128","320","52428800"
"128","311","52428800"
"128","315","52428800"
"128","323","52428800"
"128","315","52428800"
"128","503","52428800"
"128","332","52428800"
"128","321","52428800"
"128","327","52428800"
"128","371","52428800"
"128","354","52428800"
"128","333","52428800"
"128","356","52428800"
"128","471","52428800"
"128","307","52428800"
"128","306","52428800"
"128","333","52428800"
"128","331","52428800"
"128","304","52428800"
"128","307","52428800"
"128","310","52428800"
"128","313","52428800"
"128","305","52428800"
"128","317","52428800"
"128","314","52428800"
"128","310","52428800"
"128","312","52428800"
"128","322","52428800"
"128","304","52428800"
"128","310","52428800"
"128","309","52428800"
"128","304","52428800"
"128","307","52428800"
"128","306","52428800"
"128","305","52428800"
"128","312","52428800"
"1024","305","52428800"
"1024","247","52428800"
"1024","247","52428800"
"1024","249","52428800"
"1024","251","52428800"
"1024","268","52428800"
"1024","255","52428800"
"1024","251","52428800"
"1024","262","52428800"
"1024","258","52428800"
"1024","308","52428800"
"1024","245","52428800"
"1024","249","52428800"
"1024","251","52428800"
"1024","269","52428800"
"1024","335","52428800"
"1024","286","52428800"
"1024","287","52428800"
"1024","300","52428800"
"1024","318","52428800"
"1024","292","52428800"
"1024","280","52428800"
"1024","273","52428800"
"1024","266","52428800"
"1024","324","52428800"
"1024","290","52428800"
"1024","273","52428800"
"1024","277","52428800"
"1024","256","52428800"
"1024","259","52428800"
"1024","263","52428800"
"1024","285","52428800"
"1024","261","52428800"
"1024","257","52428800"
"1024","283","52428800"
"1024","305","52428800"
"1024","275","52428800"
"1024","275","52428800"
"1024","264","52428800"
"1024","283","52428800"
"1024","280","52428800"
"1024","258","52428800"
"1024","264","52428800"
"1024","300","52428800"
"1024","291","52428800"
"1024","258","52428800"
"1024","292","52428800"
"1024","296","52428800"
