"block_size","milliseconds_elapsed","total_size"
"128","539","104857600"
"128","533","104857600"
"128","540","104857600"
"128","521","104857600"
"128","525","104857600"
"128","531","104857600"
"128","528","104857600"
"128","526","104857600"
"128","541","104857600"
"128","501","104857600"
"128","500","104857600"
"128","501","104857600"
"128","526","104857600"
"128","531","104857600"
"128","525","104857600"
"128","533","104857600"
"128","557","104857600"
"128","520","104857600"
"128","557","104857600"
"128","546","104857600"
"128","552","104857600"
"128","553","104857600"
"128","556","104857600"
"128","535","104857600"
"128","524","104857600"
"128","525","104857600"
"128","523","104857600"
"128","521","104857600"
"128","527","104857600"
"128","528","104857600"
"128","527","104857600"
"128","539","104857600"
"128","530","104857600"
"128","523","104857600"
"128","534","104857600"
"128","526","104857600"
"128","525","104857600"
"128","524","104857600"
"128","530","104857600"
"128","532","104857600"
"128","529","104857600"
"128","522","104857600"
"128","506","104857600"
"128","547","104857600"
"128","584","104857600"
"128","529","104857600"
"128","524","104857600"
"128","527","104857600"
"128","531","104857600"
"128","538","104857600"
"512","507","104857600"
"512","501","104857600"
"512","498","104857600"
"512","500","104857600"
"512","516","104857600"
"512","541","104857600"
"512","501","104857600"
"512","504","104857600"
"512","500","104857600"
"512","500","104857600"
"512","498","104857600"
"512","500","104857600"
"512","498","104857600"
"512","501","104857600"
"512","501","104857600"
"512","498","104857600"
"512","501","104857600"
"512","501","104857600"
"512","498","104857600"
"512","501","104857600"
"512","504","104857600"
"512","506","104857600"
"512","501","104857600"
"512","507","104857600"
"512","498","104857600"
"512","503","104857600"
"512","501","104857600"
"512","499","104857600"
"512","503","104857600"
"512","503","104857600"
"512","507","104857600"
"512","508","104857600"
"512","499","104857600"
"512","504","104857600"
"512","504","104857600"
"512","503","104857600"
"512","499","104857600"
"512","504","104857600"
"512","495","104857600"
"512","502","104857600"
"512","497","104857600"
"512","504","104857600"
"512","507","104857600"
"512","513","104857600"
"512","507","104857600"
"512","502","104857600"
"512","502","104857600"
"512","502","104857600"
"512","503","104857600"
"512","506","104857600"
"1024","501","104857600"
"1024","499","104857600"
"1024","503","104857600"
"1024","498","104857600"
"1024","501","104857600"
"1024","494","104857600"
"1024","496","104857600"
"1024","494","104857600"
"1024","503","104857600"
"1024","503","104857600"
"1024","499","104857600"
"1024","491","104857600"
"1024","495","104857600"
"1024","494","104857600"
"1024","494","104857600"
"1024","493","104857600"
"1024","494","104857600"
"1024","507","104857600"
"1024","494","104857600"
"1024","489","104857600"
"1024","496","104857600"
"1024","494","104857600"
"1024","493","104857600"
"1024","495","104857600"
"1024","496","104857600"
"1024","499","104857600"
"1024","496","104857600"
"1024","496","104857600"
"1024","493","104857600"
"1024","493","104857600"
"1024","495","104857600"
"1024","506","104857600"
"1024","502","104857600"
"1024","506","104857600"
"1024","510","104857600"
"1024","510","104857600"
"1024","495","104857600"
"1024","494","104857600"
"1024","501","104857600"
"1024","488","104857600"
"1024","492","104857600"
"1024","524","104857600"
"1024","495","104857600"
"1024","494","104857600"
"1024","495","104857600"
"1024","520","104857600"
"1024","497","104857600"
"1024","497","104857600"
"1024","494","104857600"
"1024","495","104857600"
"4096","507","104857600"
"4096","495","104857600"
"4096","495","104857600"
"4096","491","104857600"
"4096","493","104857600"
