"block_size","milliseconds_elapsed","total_size"
"128","924","52428800"
"128","925","52428800"
"128","1216","52428800"
"128","945","52428800"
"128","931","52428800"
"512","927","52428800"
"512","954","52428800"
"512","935","52428800"
"512","935","52428800"
"512","926","52428800"
"1024","933","52428800"
"1024","938","52428800"
"1024","948","52428800"
"1024","919","52428800"
"1024","915","52428800"
"4096","941","52428800"
"4096","920","52428800"
"4096","937","52428800"
"4096","1063","52428800"
"4096","919","52428800"
"8192","918","52428800"
"8192","921","52428800"
"8192","1009","52428800"
"8192","1006","52428800"
"8192","921","52428800"
"65536","925","52428800"
"65536","901","52428800"
"65536","920","52428800"
"65536","940","52428800"
"65536","919","52428800"
"131072","922","52428800"
"131072","965","52428800"
"131072","931","52428800"
"131072","943","52428800"
"131072","920","52428800"
"524288","921","52428800"
"524288","928","52428800"
"524288","910","52428800"
"524288","923","52428800"
"524288","923","52428800"
"1048576","908","52428800"
"1048576","939","52428800"
"1048576","925","52428800"
"1048576","929","52428800"
"1048576","896","52428800"
"2097152","927","52428800"
"2097152","962","52428800"
"2097152","939","52428800"
"2097152","924","52428800"
"2097152","902","52428800"
