"block_size","milliseconds_elapsed","total_size"
"128","325","104857600"
"128","337","104857600"
"128","338","104857600"
"128","338","104857600"
"128","328","104857600"
"128","336","104857600"
"128","339","104857600"
"128","358","104857600"
"128","354","104857600"
"128","339","104857600"
"128","352","104857600"
"128","352","104857600"
"128","345","104857600"
"128","340","104857600"
"128","357","104857600"
"128","330","104857600"
"128","329","104857600"
"128","357","104857600"
"128","342","104857600"
"128","333","104857600"
"128","311","104857600"
"128","333","104857600"
"128","321","104857600"
"128","311","104857600"
"128","313","104857600"
"128","320","104857600"
"128","356","104857600"
"128","333","104857600"
"128","335","104857600"
"128","342","104857600"
"128","340","104857600"
"128","334","104857600"
"128","340","104857600"
"128","343","104857600"
"128","364","104857600"
"128","334","104857600"
"128","337","104857600"
"128","325","104857600"
"128","324","104857600"
"128","304","104857600"
"128","348","104857600"
"128","355","104857600"
"128","338","104857600"
"128","338","104857600"
"128","350","104857600"
"128","328","104857600"
"128","333","104857600"
"128","316","104857600"
"128","308","104857600"
"128","307","104857600"
"512","306","104857600"
"512","282","104857600"
"512","279","104857600"
"512","292","104857600"
"512","267","104857600"
"512","289","104857600"
"512","271","104857600"
"512","255","104857600"
"512","275","104857600"
"512","288","104857600"
"512","276","104857600"
"512","271","104857600"
"512","286","104857600"
"512","290","104857600"
"512","291","104857600"
"512","272","104857600"
"512","266","104857600"
"512","269","104857600"
"512","250","104857600"
"512","254","104857600"
"512","254","104857600"
"512","260","104857600"
"512","254","104857600"
"512","256","104857600"
"512","290","104857600"
"512","264","104857600"
"512","254","104857600"
"512","256","104857600"
"512","267","104857600"
"512","253","104857600"
"512","254","104857600"
"512","249","104857600"
"512","248","104857600"
"512","252","104857600"
"512","256","104857600"
"512","256","104857600"
"512","249","104857600"
"512","256","104857600"
"512","261","104857600"
"512","285","104857600"
"512","285","104857600"
"512","268","104857600"
"512","263","104857600"
"512","262","104857600"
"512","255","104857600"
"512","293","104857600"
"512","295","104857600"
"512","285","104857600"
"512","286","104857600"
"512","258","104857600"
"1024","271","104857600"
"1024","256","104857600"
"1024","274","104857600"
"1024","280","104857600"
"1024","276","104857600"
"1024","269","104857600"
"1024","276","104857600"
"1024","256","104857600"
"1024","254","104857600"
"1024","252","104857600"
"1024","248","104857600"
"1024","247","104857600"
"1024","299","104857600"
"1024","247","104857600"
"1024","250","104857600"
"1024","248","104857600"
"1024","255","104857600"
"1024","245","104857600"
"1024","262","104857600"
"1024","244","104857600"
"1024","251","104857600"
"1024","250","104857600"
"1024","251","104857600"
"1024","253","104857600"
"1024","252","104857600"
"1024","248","104857600"
"1024","247","104857600"
"1024","247","104857600"
"1024","248","104857600"
"1024","248","104857600"
"1024","253","104857600"
"1024","256","104857600"
"1024","246","104857600"
"1024","250","104857600"
"1024","247","104857600"
"1024","252","104857600"
"1024","249","104857600"
"1024","248","104857600"
"1024","252","104857600"
"1024","246","104857600"
"1024","252","104857600"
"1024","244","104857600"
"1024","252","104857600"
"1024","248","104857600"
"1024","245","104857600"
"1024","244","104857600"
"1024","247","104857600"
"1024","247","104857600"
"1024","248","104857600"
"1024","245","104857600"
"4096","242","104857600"
"4096","239","104857600"
"4096","242","104857600"
"4096","256","104857600"
"4096","247","104857600"
"4096","250","104857600"
"4096","245","104857600"
"4096","243","104857600"
"4096","249","104857600"
"4096","247","104857600"
"4096","247","104857600"
"4096","241","104857600"
"4096","241","104857600"
"4096","243","104857600"
"4096","245","104857600"
"4096","239","104857600"
"4096","244","104857600"
"4096","240","104857600"
"4096","246","104857600"
"4096","237","104857600"
"4096","246","104857600"
"4096","241","104857600"
"4096","254","104857600"
"4096","234","104857600"
"4096","241","104857600"
"4096","243","104857600"
"4096","246","104857600"
"4096","238","104857600"
"4096","243","104857600"
"4096","255","104857600"
"4096","253","104857600"
"4096","244","104857600"
"4096","248","104857600"
"4096","239","104857600"
"4096","241","104857600"
"4096","243","104857600"
"4096","240","104857600"
"4096","248","104857600"
"4096","255","104857600"
"4096","248","104857600"
"4096","239","104857600"
"4096","246","104857600"
"4096","243","104857600"
"4096","243","104857600"
"4096","244","104857600"
