"block_size","milliseconds_elapsed","total_size"
"128","2484","104857600"
"128","2853","104857600"
"128","2568","104857600"
"128","2282","104857600"
"128","2668","104857600"
"128","2950","104857600"
"128","2142","104857600"
"128","2145","104857600"
"128","2136","104857600"
"128","2139","104857600"
"128","2138","104857600"
"128","2078","104857600"
"128","2121","104857600"
"128","2130","104857600"
"128","2099","104857600"
"128","2116","104857600"
"128","2137","104857600"
"128","2069","104857600"
"128","2109","104857600"
"128","2132","104857600"
"128","2136","104857600"
"128","2112","104857600"
"128","2148","104857600"
"128","2151","104857600"
"128","2104","104857600"
"128","2166","104857600"
"128","2149","104857600"
"128","2117","104857600"
"128","2145","104857600"
"128","2137","104857600"
"128","2133","104857600"
"128","2153","104857600"
"128","2137","104857600"
"128","2132","104857600"
"128","2120","104857600"
"128","2107","104857600"
"128","2132","104857600"
"128","2159","104857600"
"128","2183","104857600"
"128","2136","104857600"
"128","2038","104857600"
"128","2103","104857600"
"128","2110","104857600"
"128","2124","104857600"
"128","2105","104857600"
"128","2127","104857600"
"128","2121","104857600"
"128","2120","104857600"
"128","2113","104857600"
"128","2146","104857600"
"512","1285","104857600"
"512","1341","104857600"
"512","1259","104857600"
"512","1286","104857600"
"512","1251","104857600"
"512","1273","104857600"
"512","1275","104857600"
"512","1276","104857600"
"512","1283","104857600"
"512","1269","104857600"
"512","1274","104857600"
"512","1276","104857600"
"512","1265","104857600"
"512","1292","104857600"
"512","1217","104857600"
"512","1313","104857600"
"512","1271","104857600"
"512","1259","104857600"
"512","1266","104857600"
"512","1301","104857600"
"512","1252","104857600"
"512","1416","104857600"
"512","1258","104857600"
"512","1307","104857600"
"512","1218","104857600"
"512","1274","104857600"
"512","1282","104857600"
"512","1233","104857600"
"512","1268","104857600"
"512","1311","104857600"
"512","1217","104857600"
"512","1312","104857600"
"512","1272","104857600"
"512","1299","104857600"
"512","1486","104857600"
"512","1547","104857600"
"512","1255","104857600"
"512","1296","104857600"
"512","1282","104857600"
"512","1661","104857600"
"512","1285","104857600"
"512","1261","104857600"
"512","1193","104857600"
"512","1220","104857600"
"512","1315","104857600"
"512","1240","104857600"
"512","1306","104857600"
"512","1308","104857600"
"512","1342","104857600"
"512","1308","104857600"
"1024","1093","104857600"
"1024","1152","104857600"
"1024","1130","104857600"
"1024","1124","104857600"
"1024","1109","104857600"
"1024","1148","104857600"
"1024","1109","104857600"
"1024","1130","104857600"
"1024","1122","104857600"
"1024","1115","104857600"
"1024","1118","104857600"
"1024","1118","104857600"
"1024","1038","104857600"
"1024","1154","104857600"
"1024","1091","104857600"
"1024","1154","104857600"
"1024","1128","104857600"
"1024","1057","104857600"
"1024","1277","104857600"
"1024","1106","104857600"
"1024","1158","104857600"
"1024","1167","104857600"
"1024","1133","104857600"
"1024","1111","104857600"
"1024","1127","104857600"
"1024","1160","104857600"
"1024","1118","104857600"
"1024","1141","104857600"
"1024","1134","104857600"
"1024","1112","104857600"
"1024","1152","104857600"
"1024","1117","104857600"
"1024","1080","104857600"
"1024","1090","104857600"
"1024","1075","104857600"
"1024","1122","104857600"
"1024","1126","104857600"
"1024","1103","104857600"
"1024","1114","104857600"
"1024","1141","104857600"
"1024","1124","104857600"
"1024","1105","104857600"
"1024","1110","104857600"
"1024","1190","104857600"
"1024","1094","104857600"
"1024","1318","104857600"
"1024","1274","104857600"
"1024","1186","104857600"
"1024","1115","104857600"
"1024","1092","104857600"
"4096","1066","104857600"
"4096","987","104857600"
"4096","1112","104857600"
"4096","1003","104857600"
"4096","991","104857600"
"4096","1530","104857600"
"4096","1131","104857600"
"4096","1020","104857600"
"4096","1042","104857600"
"4096","1098","104857600"
"4096","1262","104857600"
"4096","1080","104857600"
"4096","1194","104857600"
"4096","1255","104857600"
"4096","1252","104857600"
"4096","1206","104857600"
"4096","1175","104857600"
"4096","1202","104857600"
"4096","1141","104857600"
"4096","1042","104857600"
"4096","1072","104857600"
"4096","1095","104857600"
"4096","1079","104857600"
"4096","1061","104857600"
"4096","1131","104857600"
"4096","998","104857600"
"4096","1342","104857600"
"4096","1114","104857600"
"4096","1046","104857600"
"4096","1350","104857600"
"4096","1708","104857600"
"4096","1148","104857600"
"4096","1199","104857600"
"4096","1133","104857600"
"4096","1095","104857600"
"4096","1068","104857600"
"4096","993","104857600"
"4096","1020","104857600"
"4096","1085","104857600"
"4096","1014","104857600"
"4096","1184","104857600"
"4096","1221","104857600"
"4096","1126","104857600"
"4096","1107","104857600"
"4096","987","104857600"
"4096","1043","104857600"
"4096","996","104857600"
"4096","1016","104857600"
"4096","999","104857600"
"4096","998","104857600"
"8192","1030","104857600"
"8192","966","104857600"
"8192","1071","104857600"
"8192","992","104857600"
"8192","1013","104857600"
"8192","974","104857600"
"8192","963","104857600"
"8192","984","104857600"
"8192","1033","104857600"
"8192","980","104857600"
"8192","1036","104857600"
"8192","979","104857600"
"8192","980","104857600"
"8192","961","104857600"
"8192","1008","104857600"
"8192","1086","104857600"
"8192","1023","104857600"
"8192","1131","104857600"
"8192","1040","104857600"
"8192","979","104857600"
"8192","988","104857600"
"8192","994","104857600"
"8192","981","104857600"
"8192","1034","104857600"
"8192","1084","104857600"
"8192","1076","104857600"
"8192","1041","104857600"
"8192","983","104857600"
"8192","992","104857600"
"8192","1006","104857600"
"8192","979","104857600"
"8192","970","104857600"
"8192","988","104857600"
"8192","980","104857600"
"8192","964","104857600"
"8192","1027","104857600"
"8192","1030","104857600"
"8192","1114","104857600"
"8192","978","104857600"
"8192","977","104857600"
"8192","973","104857600"
"8192","1004","104857600"
"8192","990","104857600"
"8192","1008","104857600"
"8192","958","104857600"
"8192","1054","104857600"
"8192","966","104857600"
"8192","959","104857600"
"8192","937","104857600"
"8192","1049","104857600"
"65536","1505","104857600"
"65536","917","104857600"
"65536","936","104857600"
"65536","918","104857600"
"65536","928","104857600"
"65536","943","104857600"
"65536","904","104857600"
"65536","936","104857600"
"65536","959","104857600"
"65536","946","104857600"
"65536","997","104857600"
"65536","926","104857600"
"65536","1188","104857600"
"65536","920","104857600"
"65536","1017","104857600"
"65536","919","104857600"
"65536","1135","104857600"
"65536","953","104857600"
"65536","1517","104857600"
"65536","1085","104857600"
"65536","989","104857600"
"65536","937","104857600"
"65536","1185","104857600"
"65536","911","104857600"
"65536","928","104857600"
"65536","905","104857600"
"65536","913","104857600"
"65536","968","104857600"
"65536","912","104857600"
"65536","1057","104857600"
"65536","1066","104857600"
"65536","971","104857600"
"65536","942","104857600"
"65536","966","104857600"
"65536","890","104857600"
"65536","931","104857600"
"65536","921","104857600"
"65536","932","104857600"
"65536","925","104857600"
"65536","993","104857600"
"65536","907","104857600"
"65536","1036","104857600"
"65536","930","104857600"
"65536","954","104857600"
"65536","916","104857600"
"65536","1096","104857600"
"65536","1030","104857600"
"65536","970","104857600"
"65536","952","104857600"
"65536","933","104857600"
"131072","1192","104857600"
"131072","1152","104857600"
"131072","1032","104857600"
"131072","999","104857600"
"131072","1061","104857600"
"131072","924","104857600"
"131072","1040","104857600"
"131072","956","104857600"
"131072","979","104857600"
"131072","1090","104857600"
"131072","989","104857600"
"131072","931","104857600"
"131072","1047","104857600"
"131072","955","104857600"
"131072","1031","104857600"
"131072","1014","104857600"
"131072","928","104857600"
"131072","988","104857600"
"131072","940","104857600"
"131072","931","104857600"
"131072","910","104857600"
"131072","933","104857600"
"131072","970","104857600"
"131072","933","104857600"
"131072","921","104857600"
