"block_size","milliseconds_elapsed","total_size"
"128","514","52428800"
"128","527","52428800"
"128","529","52428800"
"128","530","52428800"
"128","506","52428800"
"128","521","52428800"
"128","517","52428800"
"128","515","52428800"
"128","514","52428800"
"128","520","52428800"
"128","511","52428800"
"128","509","52428800"
"128","515","52428800"
"128","535","52428800"
"128","538","52428800"
"128","527","52428800"
"128","522","52428800"
"128","507","52428800"
"128","521","52428800"
"128","517","52428800"
"128","526","52428800"
"128","514","52428800"
"128","524","52428800"
"128","515","52428800"
"128","515","52428800"
"128","502","52428800"
"128","535","52428800"
"128","519","52428800"
"128","504","52428800"
"128","502","52428800"
"128","494","52428800"
"128","489","52428800"
"128","502","52428800"
"128","491","52428800"
"128","505","52428800"
"128","505","52428800"
"128","514","52428800"
"128","514","52428800"
"128","519","52428800"
"128","509","52428800"
"128","528","52428800"
"128","514","52428800"
"128","521","52428800"
"128","517","52428800"
"128","525","52428800"
"128","502","52428800"
"128","515","52428800"
"128","506","52428800"
"128","500","52428800"
"128","503","52428800"
"512","492","52428800"
"512","485","52428800"
"512","491","52428800"
"512","490","52428800"
"512","495","52428800"
"512","479","52428800"
"512","480","52428800"
"512","491","52428800"
"512","505","52428800"
"512","491","52428800"
"512","497","52428800"
"512","490","52428800"
"512","505","52428800"
"512","473","52428800"
"512","490","52428800"
"512","497","52428800"
"512","505","52428800"
"512","500","52428800"
"512","492","52428800"
"512","495","52428800"
"512","494","52428800"
"512","490","52428800"
"512","497","52428800"
"512","489","52428800"
"512","488","52428800"
"512","471","52428800"
"512","489","52428800"
"512","486","52428800"
"512","490","52428800"
"512","475","52428800"
"512","495","52428800"
"512","475","52428800"
"512","481","52428800"
"512","495","52428800"
"512","519","52428800"
"512","491","52428800"
"512","482","52428800"
"512","485","52428800"
"512","487","52428800"
"512","477","52428800"
"512","494","52428800"
"512","484","52428800"
"512","499","52428800"
"512","489","52428800"
"512","501","52428800"
"512","504","52428800"
"512","525","52428800"
"512","503","52428800"
"512","494","52428800"
"512","495","52428800"
"1024","492","52428800"
"1024","488","52428800"
"1024","511","52428800"
"1024","514","52428800"
"1024","502","52428800"
"1024","500","52428800"
"1024","507","52428800"
"1024","499","52428800"
"1024","497","52428800"
"1024","496","52428800"
"1024","498","52428800"
"1024","501","52428800"
"1024","507","52428800"
"1024","506","52428800"
"1024","518","52428800"
"1024","505","52428800"
"1024","517","52428800"
"1024","507","52428800"
"1024","507","52428800"
"1024","500","52428800"
"1024","500","52428800"
"1024","509","52428800"
"1024","511","52428800"
"1024","497","52428800"
"1024","511","52428800"
"1024","500","52428800"
"1024","511","52428800"
"1024","503","52428800"
"1024","507","52428800"
"1024","515","52428800"
"1024","505","52428800"
"1024","504","52428800"
"1024","501","52428800"
"1024","505","52428800"
"1024","510","52428800"
"1024","506","52428800"
"1024","504","52428800"
"1024","498","52428800"
"1024","516","52428800"
"1024","516","52428800"
"1024","510","52428800"
"1024","525","52428800"
"1024","512","52428800"
"1024","510","52428800"
"1024","510","52428800"
"1024","518","52428800"
"1024","502","52428800"
"1024","507","52428800"
"1024","506","52428800"
"1024","508","52428800"
"4096","503","52428800"
"4096","499","52428800"
"4096","497","52428800"
"4096","507","52428800"
"4096","507","52428800"
"4096","502","52428800"
"4096","499","52428800"
"4096","508","52428800"
"4096","507","52428800"
"4096","522","52428800"
"4096","510","52428800"
"4096","503","52428800"
"4096","497","52428800"
"4096","498","52428800"
"4096","509","52428800"
"4096","497","52428800"
"4096","493","52428800"
"4096","499","52428800"
"4096","494","52428800"
"4096","497","52428800"
"4096","511","52428800"
"4096","498","52428800"
"4096","492","52428800"
"4096","498","52428800"
"4096","516","52428800"
"4096","501","52428800"
"4096","502","52428800"
"4096","502","52428800"
"4096","499","52428800"
"4096","494","52428800"
"4096","504","52428800"
"4096","496","52428800"
"4096","495","52428800"
"4096","502","52428800"
"4096","548","52428800"
"4096","558","52428800"
"4096","652","52428800"
"4096","513","52428800"
"4096","499","52428800"
"4096","502","52428800"
"4096","512","52428800"
"4096","513","52428800"
"4096","502","52428800"
"4096","505","52428800"
"4096","512","52428800"
"4096","503","52428800"
"4096","499","52428800"
"4096","502","52428800"
"4096","502","52428800"
"4096","527","52428800"
"8192","499","52428800"
"8192","505","52428800"
"8192","491","52428800"
"8192","500","52428800"
"8192","499","52428800"
"8192","492","52428800"
"8192","509","52428800"
"8192","504","52428800"
"8192","505","52428800"
"8192","496","52428800"
"8192","499","52428800"
"8192","508","52428800"
"8192","497","52428800"
"8192","495","52428800"
"8192","500","52428800"
"8192","506","52428800"
"8192","501","52428800"
"8192","506","52428800"
"8192","487","52428800"
"8192","512","52428800"
"8192","513","52428800"
"8192","489","52428800"
"8192","485","52428800"
"8192","556","52428800"
"8192","517","52428800"
"8192","513","52428800"
"8192","521","52428800"
"8192","491","52428800"
"8192","506","52428800"
"8192","518","52428800"
"8192","528","52428800"
"8192","508","52428800"
"8192","509","52428800"
"8192","499","52428800"
