"block_size","milliseconds_elapsed","total_size"
"128","311","104857600"
"128","325","104857600"
"128","346","104857600"
"128","309","104857600"
"128","321","104857600"
"128","321","104857600"
"128","314","104857600"
"128","307","104857600"
"128","307","104857600"
"128","312","104857600"
"128","308","104857600"
"128","310","104857600"
"128","302","104857600"
"128","313","104857600"
"128","308","104857600"
"128","303","104857600"
"128","306","104857600"
"128","308","104857600"
"128","302","104857600"
"128","309","104857600"
"128","314","104857600"
"128","302","104857600"
"128","302","104857600"
"128","306","104857600"
"128","299","104857600"
"128","304","104857600"
"128","310","104857600"
"128","304","104857600"
"128","308","104857600"
"128","309","104857600"
"128","304","104857600"
"128","303","104857600"
"128","304","104857600"
"128","307","104857600"
"128","305","104857600"
"128","311","104857600"
"128","304","104857600"
"128","300","104857600"
"128","305","104857600"
"128","302","104857600"
"128","304","104857600"
"128","306","104857600"
"128","304","104857600"
"128","302","104857600"
"128","331","104857600"
"128","303","104857600"
"128","306","104857600"
"128","301","104857600"
"128","302","104857600"
"128","310","104857600"
"1024","247","104857600"
"1024","248","104857600"
"1024","244","104857600"
"1024","252","104857600"
"1024","242","104857600"
"1024","250","104857600"
"1024","244","104857600"
"1024","256","104857600"
"1024","244","104857600"
"1024","248","104857600"
"1024","243","104857600"
"1024","249","104857600"
"1024","256","104857600"
"1024","244","104857600"
"1024","246","104857600"
"1024","257","104857600"
"1024","243","104857600"
"1024","246","104857600"
"1024","249","104857600"
"1024","251","104857600"
"1024","251","104857600"
"1024","244","104857600"
"1024","251","104857600"
"1024","249","104857600"
"1024","249","104857600"
"1024","254","104857600"
"1024","247","104857600"
"1024","249","104857600"
"1024","266","104857600"
"1024","256","104857600"
"1024","254","104857600"
"1024","252","104857600"
"1024","246","104857600"
"1024","248","104857600"
"1024","256","104857600"
"1024","243","104857600"
"1024","246","104857600"
"1024","249","104857600"
"1024","249","104857600"
"1024","244","104857600"
"1024","249","104857600"
"1024","246","104857600"
"1024","247","104857600"
"1024","249","104857600"
"1024","246","104857600"
"1024","250","104857600"
"1024","250","104857600"
"1024","251","104857600"
"1024","251","104857600"
"1024","247","104857600"
"4096","237","104857600"
"4096","244","104857600"
"4096","240","104857600"
"4096","250","104857600"
"4096","245","104857600"
"4096","246","104857600"
"4096","238","104857600"
"4096","241","104857600"
"4096","240","104857600"
"4096","239","104857600"
"4096","247","104857600"
"4096","241","104857600"
"4096","246","104857600"
"4096","245","104857600"
"4096","241","104857600"
"4096","244","104857600"
"4096","246","104857600"
"4096","263","104857600"
"4096","253","104857600"
"4096","247","104857600"
