"block_size","milliseconds_elapsed","total_size"
"128","2123","104857600"
"128","2052","104857600"
"128","2002","104857600"
"128","2013","104857600"
"128","2062","104857600"
"128","1979","104857600"
"128","2035","104857600"
"128","1988","104857600"
"128","1996","104857600"
"128","1987","104857600"
"128","2026","104857600"
"128","2027","104857600"
"128","2026","104857600"
"128","2213","104857600"
"128","2014","104857600"
"128","2058","104857600"
"128","2135","104857600"
"128","2149","104857600"
"128","2158","104857600"
"128","2189","104857600"
"128","2119","104857600"
"128","2143","104857600"
"128","2173","104857600"
"128","2148","104857600"
"128","2153","104857600"
"128","2125","104857600"
"128","2091","104857600"
"128","2134","104857600"
"128","2113","104857600"
"128","2115","104857600"
"128","2185","104857600"
"128","2161","104857600"
"128","2141","104857600"
"128","2196","104857600"
"128","2156","104857600"
"128","2210","104857600"
"128","2089","104857600"
"128","2122","104857600"
"128","2113","104857600"
"128","2162","104857600"
"128","2166","104857600"
"128","2150","104857600"
"128","2186","104857600"
"128","2257","104857600"
"128","2349","104857600"
"128","2345","104857600"
"128","2144","104857600"
"128","2112","104857600"
"128","2185","104857600"
"128","2134","104857600"
"512","1238","104857600"
"512","1239","104857600"
"512","1248","104857600"
"512","1226","104857600"
"512","1227","104857600"
"512","1258","104857600"
"512","1237","104857600"
"512","1235","104857600"
"512","1222","104857600"
"512","1240","104857600"
"512","1228","104857600"
"512","1232","104857600"
"512","1241","104857600"
"512","1204","104857600"
"512","1240","104857600"
"512","1223","104857600"
"512","1209","104857600"
"512","1219","104857600"
"512","1248","104857600"
"512","1212","104857600"
"512","1203","104857600"
"512","1244","104857600"
"512","1227","104857600"
"512","1300","104857600"
"512","1204","104857600"
"512","1235","104857600"
"512","1224","104857600"
"512","1263","104857600"
"512","1223","104857600"
"512","1243","104857600"
"512","1253","104857600"
"512","1223","104857600"
"512","1201","104857600"
"512","1224","104857600"
"512","1237","104857600"
"512","1240","104857600"
"512","1233","104857600"
"512","1241","104857600"
"512","1256","104857600"
"512","1213","104857600"
"512","1249","104857600"
"512","1253","104857600"
"512","1261","104857600"
"512","1232","104857600"
"512","1265","104857600"
"512","1257","104857600"
"512","1219","104857600"
"512","1215","104857600"
"512","1200","104857600"
"512","1218","104857600"
"1024","1055","104857600"
"1024","1104","104857600"
"1024","1073","104857600"
"1024","1070","104857600"
"1024","1078","104857600"
"1024","1055","104857600"
"1024","1072","104857600"
"1024","1090","104857600"
"1024","1091","104857600"
"1024","1087","104857600"
"1024","1084","104857600"
"1024","1079","104857600"
"1024","1090","104857600"
"1024","1060","104857600"
"1024","1038","104857600"
"1024","1044","104857600"
"1024","1078","104857600"
"1024","1092","104857600"
"1024","1055","104857600"
"1024","1091","104857600"
"1024","1064","104857600"
"1024","1032","104857600"
"1024","1037","104857600"
"1024","1074","104857600"
"1024","1064","104857600"
"1024","1084","104857600"
"1024","1075","104857600"
"1024","1086","104857600"
"1024","1063","104857600"
"1024","1054","104857600"
"1024","1056","104857600"
"1024","1058","104857600"
"1024","1064","104857600"
"1024","1059","104857600"
"1024","1107","104857600"
"1024","1098","104857600"
"1024","1124","104857600"
"1024","1105","104857600"
"1024","1171","104857600"
"1024","1123","104857600"
"1024","1163","104857600"
"1024","1221","104857600"
"1024","1097","104857600"
"1024","1079","104857600"
"1024","1092","104857600"
"1024","1099","104857600"
"1024","1147","104857600"
"1024","1103","104857600"
"1024","1091","104857600"
"1024","1077","104857600"
"4096","960","104857600"
"4096","968","104857600"
"4096","947","104857600"
"4096","943","104857600"
"4096","944","104857600"
"4096","953","104857600"
"4096","960","104857600"
"4096","978","104857600"
"4096","942","104857600"
"4096","953","104857600"
"4096","950","104857600"
"4096","959","104857600"
"4096","959","104857600"
"4096","962","104857600"
"4096","944","104857600"
"4096","959","104857600"
"4096","949","104857600"
"4096","931","104857600"
"4096","923","104857600"
"4096","939","104857600"
"4096","935","104857600"
"4096","925","104857600"
"4096","929","104857600"
"4096","952","104857600"
"4096","972","104857600"
"4096","941","104857600"
"4096","940","104857600"
"4096","1015","104857600"
"4096","953","104857600"
"4096","952","104857600"
"4096","964","104857600"
"4096","955","104857600"
"4096","951","104857600"
"4096","968","104857600"
"4096","953","104857600"
"4096","941","104857600"
"4096","958","104857600"
"4096","975","104857600"
"4096","949","104857600"
"4096","953","104857600"
"4096","936","104857600"
"4096","934","104857600"
"4096","947","104857600"
"4096","936","104857600"
"4096","952","104857600"
"4096","961","104857600"
"4096","956","104857600"
"4096","945","104857600"
"4096","927","104857600"
"4096","941","104857600"
"8192","944","104857600"
"8192","926","104857600"
"8192","974","104857600"
"8192","965","104857600"
"8192","950","104857600"
"8192","936","104857600"
"8192","941","104857600"
"8192","949","104857600"
"8192","1396","104857600"
"8192","947","104857600"
"8192","949","104857600"
"8192","955","104857600"
"8192","935","104857600"
"8192","928","104857600"
"8192","967","104857600"
"8192","931","104857600"
"8192","965","104857600"
"8192","959","104857600"
"8192","946","104857600"
"8192","939","104857600"
"8192","941","104857600"
"8192","929","104857600"
"8192","937","104857600"
"8192","945","104857600"
"8192","934","104857600"
"8192","940","104857600"
"8192","968","104857600"
"8192","955","104857600"
"8192","933","104857600"
"8192","936","104857600"
"8192","940","104857600"
"8192","948","104857600"
"8192","949","104857600"
"8192","944","104857600"
"8192","934","104857600"
"8192","953","104857600"
"8192","971","104857600"
"8192","941","104857600"
"8192","933","104857600"
"8192","931","104857600"
"8192","946","104857600"
"8192","949","104857600"
"8192","946","104857600"
"8192","945","104857600"
"8192","935","104857600"
"8192","945","104857600"
"8192","954","104857600"
"8192","942","104857600"
"8192","946","104857600"
"8192","937","104857600"
"65536","915","104857600"
"65536","921","104857600"
"65536","929","104857600"
"65536","915","104857600"
"65536","908","104857600"
"65536","928","104857600"
"65536","941","104857600"
"65536","935","104857600"
"65536","938","104857600"
"65536","915","104857600"
"65536","942","104857600"
"65536","916","104857600"
"65536","915","104857600"
"65536","916","104857600"
"65536","915","104857600"
"65536","923","104857600"
"65536","911","104857600"
"65536","977","104857600"
"65536","958","104857600"
"65536","922","104857600"
"65536","922","104857600"
"65536","916","104857600"
"65536","902","104857600"
"65536","914","104857600"
"65536","931","104857600"
"65536","927","104857600"
"65536","940","104857600"
"65536","934","104857600"
"65536","918","104857600"
"65536","920","104857600"
"65536","912","104857600"
"65536","923","104857600"
"65536","918","104857600"
"65536","922","104857600"
"65536","915","104857600"
"65536","911","104857600"
"65536","918","104857600"
"65536","934","104857600"
"65536","906","104857600"
"65536","921","104857600"
"65536","913","104857600"
"65536","921","104857600"
"65536","912","104857600"
"65536","919","104857600"
"65536","944","104857600"
"65536","904","104857600"
"65536","918","104857600"
"65536","935","104857600"
"65536","912","104857600"
"65536","929","104857600"
"131072","915","104857600"
"131072","906","104857600"
"131072","941","104857600"
"131072","933","104857600"
"131072","908","104857600"
"131072","934","104857600"
"131072","915","104857600"
"131072","920","104857600"
"131072","920","104857600"
"131072","934","104857600"
"131072","937","104857600"
"131072","918","104857600"
"131072","929","104857600"
"131072","924","104857600"
"131072","929","104857600"
"131072","921","104857600"
"131072","926","104857600"
"131072","928","104857600"
"131072","960","104857600"
"131072","939","104857600"
"131072","917","104857600"
"131072","914","104857600"
"131072","917","104857600"
"131072","922","104857600"
"131072","912","104857600"
"131072","926","104857600"
"131072","925","104857600"
"131072","912","104857600"
"131072","919","104857600"
"131072","915","104857600"
"131072","923","104857600"
"131072","932","104857600"
"131072","950","104857600"
"131072","939","104857600"
"131072","917","104857600"
"131072","912","104857600"
"131072","911","104857600"
"131072","925","104857600"
"131072","915","104857600"
"131072","923","104857600"
"131072","915","104857600"
"131072","922","104857600"
"131072","946","104857600"
"131072","919","104857600"
"131072","923","104857600"
"131072","938","104857600"
"131072","912","104857600"
"131072","915","104857600"
"131072","930","104857600"
"131072","921","104857600"
"524288","918","104857600"
"524288","920","104857600"
"524288","918","104857600"
"524288","950","104857600"
"524288","947","104857600"
"524288","920","104857600"
"524288","918","104857600"
"524288","913","104857600"
"524288","912","104857600"
"524288","924","104857600"
"524288","926","104857600"
"524288","927","104857600"
"524288","917","104857600"
"524288","920","104857600"
"524288","932","104857600"
"524288","993","104857600"
"524288","960","104857600"
"524288","951","104857600"
"524288","931","104857600"
"524288","921","104857600"
"524288","916","104857600"
"524288","925","104857600"
"524288","923","104857600"
"524288","928","104857600"
"524288","916","104857600"
"524288","924","104857600"
"524288","928","104857600"
"524288","936","104857600"
"524288","959","104857600"
"524288","932","104857600"
"524288","933","104857600"
"524288","910","104857600"
"524288","920","104857600"
"524288","927","104857600"
"524288","918","104857600"
"524288","918","104857600"
"524288","940","104857600"
"524288","935","104857600"
"524288","920","104857600"
"524288","917","104857600"
"524288","913","104857600"
"524288","933","104857600"
"524288","932","104857600"
"524288","966","104857600"
"524288","937","104857600"
"524288","953","104857600"
"524288","921","104857600"
"524288","931","104857600"
"524288","929","104857600"
"524288","937","104857600"
"1048576","947","104857600"
"1048576","933","104857600"
"1048576","930","104857600"
"1048576","909","104857600"
"1048576","945","104857600"
"1048576","923","104857600"
"1048576","931","104857600"
"1048576","926","104857600"
"1048576","970","104857600"
"1048576","963","104857600"
"1048576","1091","104857600"
"1048576","1066","104857600"
"1048576","951","104857600"
"1048576","983","104857600"
"1048576","1060","104857600"
"1048576","1203","104857600"
"1048576","994","104857600"
"1048576","1030","104857600"
"1048576","946","104857600"
"1048576","965","104857600"
"1048576","982","104857600"
"1048576","959","104857600"
"1048576","925","104857600"
"1048576","918","104857600"
"1048576","914","104857600"
"1048576","925","104857600"
"1048576","997","104857600"
"1048576","957","104857600"
"1048576","957","104857600"
"1048576","965","104857600"
"1048576","930","104857600"
"1048576","947","104857600"
"1048576","927","104857600"
"1048576","926","104857600"
"1048576","924","104857600"
"1048576","926","104857600"
"1048576","918","104857600"
"1048576","925","104857600"
"1048576","927","104857600"
"1048576","921","104857600"
"1048576","969","104857600"
"1048576","929","104857600"
"1048576","925","104857600"
"1048576","933","104857600"
"1048576","932","104857600"
"1048576","942","104857600"
"1048576","914","104857600"
"1048576","924","104857600"
"1048576","919","104857600"
"1048576","917","104857600"
"2097152","921","104857600"
"2097152","926","104857600"
"2097152","916","104857600"
"2097152","917","104857600"
"2097152","925","104857600"
"2097152","921","104857600"
"2097152","910","104857600"
"2097152","979","104857600"
"2097152","930","104857600"
"2097152","934","104857600"
"2097152","934","104857600"
"2097152","918","104857600"
"2097152","933","104857600"
"2097152","935","104857600"
"2097152","918","104857600"
"2097152","926","104857600"
"2097152","925","104857600"
"2097152","924","104857600"
"2097152","923","104857600"
"2097152","935","104857600"
"2097152","921","104857600"
"2097152","932","104857600"
"2097152","917","104857600"
"2097152","961","104857600"
"2097152","924","104857600"
"2097152","914","104857600"
"2097152","923","104857600"
"2097152","916","104857600"
