"block_size","milliseconds_elapsed","total_size"
"128","1882","52428800"
"128","1829","52428800"
"128","1832","52428800"
"128","1838","52428800"
"128","2817","52428800"
"128","3629","52428800"
"128","2359","52428800"
"128","2432","52428800"
"128","3016","52428800"
"128","2407","52428800"
"128","4823","52428800"
"128","3188","52428800"
"128","2698","52428800"
"128","2277","52428800"
"128","4557","52428800"
"128","3988","52428800"
"128","2990","52428800"
"128","2431","52428800"
"128","3456","52428800"
"128","2901","52428800"
"128","2416","52428800"
"128","5549","52428800"
"128","2610","52428800"
"128","4707","52428800"
"128","4414","52428800"
"128","2281","52428800"
"128","3479","52428800"
"128","4763","52428800"
"128","2838","52428800"
"128","2705","52428800"
"128","3698","52428800"
"128","3704","52428800"
"128","3153","52428800"
"128","2675","52428800"
"128","3350","52428800"
"128","2265","52428800"
"128","3943","52428800"
"128","2974","52428800"
"128","2974","52428800"
"128","2739","52428800"
"128","3886","52428800"
"128","2271","52428800"
"128","1871","52428800"
"128","2142","52428800"
"128","2915","52428800"
"128","4825","52428800"
"128","2698","52428800"
"128","2146","52428800"
"128","2882","52428800"
"128","3027","52428800"
"512","5037","52428800"
"512","2290","52428800"
"512","3009","52428800"
"512","4479","52428800"
"512","3429","52428800"
"512","3037","52428800"
"512","3905","52428800"
"512","3003","52428800"
"512","2279","52428800"
"512","4578","52428800"
"512","2727","52428800"
"512","3408","52428800"
"512","3115","52428800"
"512","2684","52428800"
"512","3679","52428800"
"512","3691","52428800"
"512","3795","52428800"
"512","3541","52428800"
"512","3872","52428800"
"512","2675","52428800"
"512","2306","52428800"
"512","3390","52428800"
"512","2853","52428800"
"512","3296","52428800"
"512","1862","52428800"
"512","2419","52428800"
"512","1947","52428800"
"512","2721","52428800"
"512","2815","52428800"
"512","6475","52428800"
"512","1868","52428800"
"512","3401","52428800"
"512","1899","52428800"
"512","1876","52428800"
"512","4452","52428800"
"512","2270","52428800"
"512","2546","52428800"
"512","3870","52428800"
"512","2625","52428800"
"512","2422","52428800"
"512","4790","52428800"
"512","2587","52428800"
"512","2423","52428800"
"512","3030","52428800"
"512","2710","52428800"
"512","2715","52428800"
"512","3281","52428800"
"512","2695","52428800"
"512","2277","52428800"
"512","5026","52428800"
"1024","3012","52428800"
"1024","2709","52428800"
"1024","3868","52428800"
"1024","2708","52428800"
"1024","2433","52428800"
"1024","3096","52428800"
"1024","3524","52428800"
"1024","2237","52428800"
"1024","2846","52428800"
"1024","2254","52428800"
"1024","3843","52428800"
"1024","4064","52428800"
"1024","3982","52428800"
"1024","4556","52428800"
"1024","3028","52428800"
"1024","2417","52428800"
"1024","2488","52428800"
"1024","5151","52428800"
"1024","2623","52428800"
"1024","4814","52428800"
"1024","2563","52428800"
"1024","2316","52428800"
"1024","2881","52428800"
"1024","2494","52428800"
"1024","4030","52428800"
"1024","3998","52428800"
"1024","3854","52428800"
"1024","3920","52428800"
"1024","2706","52428800"
"1024","2826","52428800"
"1024","3435","52428800"
"1024","2682","52428800"
"1024","2425","52428800"
"1024","2553","52428800"
"1024","6232","52428800"
"1024","2461","52428800"
"1024","3461","52428800"
"1024","3944","52428800"
"1024","4148","52428800"
"1024","3537","52428800"
"1024","4096","52428800"
"1024","3083","52428800"
"1024","3457","52428800"
"1024","3944","52428800"
"1024","3515","52428800"
"1024","3543","52428800"
"1024","3560","52428800"
"1024","5281","52428800"
"1024","5703","52428800"
"1024","3288","52428800"
"4096","4898","52428800"
"4096","2940","52428800"
"4096","4750","52428800"
"4096","3834","52428800"
"4096","6778","52428800"
"4096","4073","52428800"
"4096","7048","52428800"
"4096","2563","52428800"
"4096","4477","52428800"
"4096","3195","52428800"
"4096","6488","52428800"
"4096","4542","52428800"
"4096","5047","52428800"
"4096","3562","52428800"
"4096","4375","52428800"
"4096","3942","52428800"
"4096","5159","52428800"
"4096","2604","52428800"
"4096","4656","52428800"
"4096","3859","52428800"
"4096","4934","52428800"
"4096","2025","52428800"
"4096","3199","52428800"
"4096","2551","52428800"
"4096","5293","52428800"
"4096","4497","52428800"
"4096","4027","52428800"
"4096","4069","52428800"
"4096","1905","52428800"
"4096","7190","52428800"
"4096","4200","52428800"
"4096","4431","52428800"
"4096","4032","52428800"
"4096","6016","52428800"
"4096","4192","52428800"
"4096","4727","52428800"
"4096","1887","52428800"
"4096","4552","52428800"
"4096","3741","52428800"
"4096","3395","52428800"
"4096","3389","52428800"
"4096","5084","52428800"
"4096","2586","52428800"
"4096","5289","52428800"
"4096","3854","52428800"
"4096","3889","52428800"
"4096","3686","52428800"
"4096","4053","52428800"
"4096","3650","52428800"
"4096","2647","52428800"
"8192","2883","52428800"
"8192","4386","52428800"
"8192","2549","52428800"
"8192","7354","52428800"
"8192","2877","52428800"
"8192","5396","52428800"
"8192","3318","52428800"
"8192","4366","52428800"
"8192","2637","52428800"
"8192","3655","52428800"
"8192","3567","52428800"
"8192","2660","52428800"
"8192","6041","52428800"
"8192","4102","52428800"
"8192","2410","52428800"
"8192","5357","52428800"
"8192","2931","52428800"
"8192","3091","52428800"
"8192","3701","52428800"
"8192","3402","52428800"
"8192","2973","52428800"
"8192","4326","52428800"
"8192","3044","52428800"
"8192","3914","52428800"
"8192","2581","52428800"
"8192","3391","52428800"
"8192","3241","52428800"
"8192","4131","52428800"
"8192","4520","52428800"
"8192","4609","52428800"
"8192","3772","52428800"
"8192","4020","52428800"
"8192","2987","52428800"
"8192","2676","52428800"
"8192","3496","52428800"
"8192","4098","52428800"
"8192","5085","52428800"
"8192","4724","52428800"
"8192","2694","52428800"
"8192","5029","52428800"
"8192","3019","52428800"
"8192","3514","52428800"
"8192","3464","52428800"
"8192","4102","52428800"
"8192","3251","52428800"
"8192","4067","52428800"
"8192","4494","52428800"
"8192","3499","52428800"
"8192","6724","52428800"
"8192","2429","52428800"
"65536","3560","52428800"
"65536","4018","52428800"
"65536","2995","52428800"
"65536","3379","52428800"
"65536","2535","52428800"
"65536","5503","52428800"
"65536","2950","52428800"
"65536","3983","52428800"
"65536","3054","52428800"
"65536","2634","52428800"
"65536","5199","52428800"
"65536","2645","52428800"
"65536","3311","52428800"
"65536","2846","52428800"
"65536","4028","52428800"
"65536","3619","52428800"
"65536","2986","52428800"
"65536","2539","52428800"
"65536","5438","52428800"
"65536","1850","52428800"
"65536","5104","52428800"
"65536","4056","52428800"
"65536","2167","52428800"
"65536","2964","52428800"
"65536","3886","52428800"
"65536","2690","52428800"
"65536","5079","52428800"
"65536","4562","52428800"
"65536","3665","52428800"
"65536","2982","52428800"
"65536","2764","52428800"
"65536","4562","52428800"
"65536","2509","52428800"
"65536","3926","52428800"
"65536","3350","52428800"
"65536","3545","52428800"
"65536","2952","52428800"
"65536","2513","52428800"
"65536","4038","52428800"
"65536","2396","52428800"
