"block_size","milliseconds_elapsed","total_size"
"128","4276","104857600"
"128","4244","104857600"
"128","4238","104857600"
"128","4253","104857600"
"128","4297","104857600"
"128","8398","104857600"
"128","6245","104857600"
"128","5434","104857600"
"128","4283","104857600"
"128","8986","104857600"
"128","4874","104857600"
"128","8887","104857600"
"128","5500","104857600"
"128","5501","104857600"
"128","5645","104857600"
"128","6149","104857600"
"128","6361","104857600"
"128","5973","104857600"
"128","7183","104857600"
"128","5075","104857600"
"128","5351","104857600"
"128","4806","104857600"
"128","6501","104857600"
"128","5956","104857600"
"128","7174","104857600"
"128","6054","104857600"
"128","7975","104857600"
"128","4899","104857600"
"128","5535","104857600"
"128","5461","104857600"
"128","8295","104857600"
"128","4356","104857600"
"128","9066","104857600"
"128","5113","104857600"
"128","8492","104857600"
"128","4856","104857600"
"128","6928","104857600"
"128","5369","104857600"
"128","6003","104857600"
"128","5478","104857600"
"128","4922","104857600"
"128","5013","104857600"
"128","5083","104857600"
"128","4605","104857600"
"128","6129","104857600"
"128","4345","104857600"
"128","7188","104857600"
"128","6813","104857600"
"128","4861","104857600"
"128","5921","104857600"
"512","7509","104857600"
"512","5405","104857600"
"512","7158","104857600"
"512","5398","104857600"
"512","5476","104857600"
"512","5979","104857600"
"512","6291","104857600"
"512","6566","104857600"
"512","10587","104857600"
"512","11894","104857600"
"512","5043","104857600"
"512","7936","104857600"
"512","7441","104857600"
"512","5974","104857600"
"512","6390","104857600"
"512","4409","104857600"
"512","7007","104857600"
"512","6116","104857600"
"512","4298","104857600"
"512","6619","104857600"
"512","6049","104857600"
"512","10419","104857600"
"512","4276","104857600"
"512","7196","104857600"
"512","4877","104857600"
"512","6615","104857600"
"512","4301","104857600"
"512","5513","104857600"
"512","10796","104857600"
"512","4342","104857600"
"512","4320","104857600"
"512","7015","104857600"
"512","5555","104857600"
"512","6607","104857600"
"512","6217","104857600"
"512","8628","104857600"
"512","7783","104857600"
"512","5453","104857600"
"512","8031","104857600"
"512","5470","104857600"
"512","6935","104857600"
"512","5928","104857600"
"512","6817","104857600"
"512","6682","104857600"
"512","6424","104857600"
"512","5405","104857600"
"512","6605","104857600"
"512","5370","104857600"
"512","8267","104857600"
"512","5435","104857600"
"1024","5537","104857600"
"1024","5982","104857600"
"1024","6040","104857600"
"1024","8467","104857600"
"1024","6302","104857600"
"1024","5991","104857600"
"1024","6047","104857600"
"1024","7676","104857600"
"1024","6517","104857600"
"1024","5471","104857600"
"1024","5366","104857600"
"1024","6095","104857600"
"1024","6185","104857600"
"1024","7072","104857600"
"1024","6362","104857600"
"1024","5999","104857600"
"1024","5425","104857600"
"1024","5661","104857600"
"1024","7081","104857600"
"1024","7844","104857600"
"1024","9038","104857600"
"1024","7560","104857600"
"1024","8860","104857600"
"1024","4894","104857600"
"1024","6963","104857600"
"1024","5505","104857600"
"1024","7041","104857600"
"1024","6852","104857600"
"1024","6182","104857600"
"1024","5944","104857600"
"1024","5973","104857600"
"1024","7973","104857600"
"1024","4877","104857600"
"1024","5745","104857600"
"1024","5936","104857600"
"1024","7459","104857600"
"1024","4379","104857600"
"1024","5433","104857600"
"1024","5543","104857600"
"1024","6441","104857600"
"1024","6317","104857600"
"1024","5950","104857600"
"1024","5991","104857600"
"1024","4287","104857600"
"1024","9388","104857600"
"1024","5924","104857600"
"1024","4384","104857600"
"1024","5515","104857600"
"1024","6642","104857600"
"1024","8425","104857600"
"4096","4807","104857600"
"4096","6629","104857600"
"4096","6321","104857600"
"4096","6289","104857600"
"4096","6010","104857600"
"4096","8269","104857600"
"4096","5396","104857600"
"4096","5560","104857600"
"4096","10392","104857600"
"4096","4364","104857600"
"4096","5406","104857600"
"4096","5911","104857600"
"4096","7517","104857600"
"4096","5892","104857600"
"4096","7048","104857600"
"4096","5844","104857600"
"4096","7473","104857600"
"4096","5446","104857600"
"4096","4309","104857600"
"4096","9040","104857600"
"4096","5013","104857600"
"4096","6359","104857600"
"4096","5970","104857600"
"4096","7975","104857600"
"4096","7921","104857600"
"4096","8957","104857600"
"4096","4819","104857600"
"4096","4856","104857600"
"4096","4916","104857600"
"4096","6366","104857600"
"4096","6727","104857600"
"4096","4840","104857600"
"4096","4859","104857600"
"4096","7102","104857600"
"4096","5981","104857600"
"4096","7590","104857600"
"4096","5912","104857600"
"4096","6475","104857600"
"4096","6499","104857600"
"4096","8087","104857600"
"4096","5113","104857600"
"4096","5383","104857600"
"4096","5396","104857600"
"4096","8109","104857600"
"4096","4291","104857600"
"4096","4858","104857600"
"4096","4919","104857600"
"4096","6912","104857600"
"4096","4865","104857600"
"4096","9128","104857600"
"8192","6720","104857600"
"8192","7830","104857600"
"8192","5985","104857600"
"8192","6367","104857600"
"8192","4600","104857600"
"8192","4600","104857600"
"8192","9987","104857600"
"8192","5285","104857600"
"8192","4333","104857600"
"8192","6857","104857600"
"8192","6057","104857600"
"8192","6599","104857600"
"8192","5971","104857600"
"8192","5606","104857600"
"8192","7009","104857600"
"8192","5418","104857600"
"8192","6037","104857600"
"8192","6438","104857600"
"8192","5387","104857600"
"8192","5427","104857600"
"8192","8353","104857600"
"8192","5924","104857600"
"8192","7128","104857600"
"8192","6033","104857600"
"8192","6384","104857600"
"8192","5941","104857600"
"8192","5991","104857600"
"8192","10285","104857600"
"8192","5031","104857600"
"8192","5944","104857600"
"8192","6414","104857600"
"8192","8287","104857600"
"8192","5420","104857600"
"8192","5728","104857600"
"8192","6081","104857600"
"8192","9594","104857600"
"8192","4860","104857600"
"8192","8117","104857600"
"8192","5411","104857600"
"8192","9716","104857600"
"8192","5179","104857600"
"8192","6561","104857600"
"8192","6092","104857600"
"8192","8878","104857600"
"8192","5941","104857600"
"8192","6730","104857600"
"8192","5440","104857600"
"8192","9347","104857600"
"8192","4831","104857600"
"8192","6296","104857600"
"65536","5926","104857600"
"65536","6670","104857600"
"65536","5399","104857600"
"65536","7643","104857600"
"65536","5348","104857600"
"65536","6265","104857600"
"65536","5390","104857600"
"65536","6780","104857600"
"65536","5415","104857600"
"65536","9169","104857600"
"65536","5405","104857600"
